,instance,TC,TC Bound,Running time,MIP Gap,Num MRT Line Used
0,A-n10-k4-m0-b4,287.74000000000007,287.74,0.953,1.9755132710366303e-14,0
1,A-n10-k4-m1-b4,287.74000000000007,287.74,21.125,1.9755132710366303e-14,0
2,A-n10-k4-m2-b4,287.74000000000007,287.74,26.969,1.9755132710366303e-14,0
3,A-n10-k4-m3-b4,287.74,287.74,6.563000000000001,0.0,0
4,A-n11-k4-m0-b4,342.44,342.44,11.812999999999999,0.0,0
5,A-n11-k4-m1-b4,331.63,331.6299999999999,48.547000000000004,3.4281228393575984e-14,1
6,A-n11-k4-m2-b4,331.62999999999994,331.63,12.297,1.7140614196787995e-14,1
7,A-n11-k4-m3-b4,331.63,331.6299999999999,102.047,3.4281228393575984e-14,1
8,A-n12-k4-m0-b4,378.1600000000001,378.16,135.813,1.5031578924478527e-14,0
9,A-n12-k4-m1-b4,378.16,378.16,194,0.0,0
10,A-n12-k4-m2-b4,362.51,362.5099999999999,1551.891,3.136102113641445e-14,1
11,A-n12-k4-m3-b4,339.65,339.65,1329.657,0.0,3
12,A-n13-k4-m0-b4,383.12,383.1199999999999,1415.25,2.9673950125708927e-14,0
13,A-n13-k4-m1-b4,383.12,383.12,865.39,0.0,0
14,A-n13-k4-m2-b4,364.8,364.8,4507.1410000000005,0.0,1
15,A-n13-k4-m3-b4,364.8,364.8,3367.516,0.0,1
16,A-n14-k4-m0-b4,484.72999999999996,420.25,14440.594,13.302250737523977,0
17,A-n14-k4-m1-b4,483.25,413.3216455696202,14417.547,14.470430301164983,1
18,A-n14-k4-m2-b4,441.66,402.5846296296295,14410.015000000001,8.847387214230524,2
19,A-n14-k4-m3-b4,441.66,338.1532131064263,14425.703,23.435852668019233,2
20,A-n15-k4-m0-b4,435.58000000000004,350.84,14439.843,19.454520409568865,0
21,A-n15-k4-m1-b4,390.82000000000005,337.71,14422.094,13.589376183409257,1
22,A-n15-k4-m2-b4,390.82000000000005,390.8199999999999,12125.780999999999,4.363396361046621e-14,1
23,A-n15-k4-m3-b4,373.15,373.15,8625.937,0.0,2
24,A-n16-k4-m0-b4,437.97,314.62,14441.030999999999,28.16402949973743,0
25,A-n16-k4-m1-b4,437.97,324.6,14472.906,25.88533461195972,0
