,instance,TC,TC Bound,Running time,MIP Gap,Num MRT Line Used
0,A-n10-k4-m0-b4,726.75,726.75,2627.859,0.0,0
1,A-n10-k4-m1-b4,726.75,726.75,1522.266,0.0,0
2,A-n10-k4-m2-b4,600.41,449.84,54044.438,25.07786345996902,1
3,A-n10-k4-m3-b4,441.71000000000004,357.56,54023.812000000005,19.050961037784976,1
4,A-n11-k4-m0-b4,1002.3600000000001,,54149.187,24.57799592960614,0
5,A-n11-k4-m1-b4,1002.3599999999999,818.04,54057.422000000006,18.38860289716269,0
6,A-n11-k4-m2-b4,941.55,591.0600000000001,54109.219000000005,37.22478891190058,0
7,A-n11-k4-m3-b4,861.5,483.32,54117.688,43.89785258270459,1
8,A-n12-k4-m0-b4,942.87,752.25,54093.141,20.21699704094944,0
9,A-n12-k4-m1-b4,867.66,867.66,14809.578,0.0,1
10,A-n12-k4-m2-b4,867.66,609.8805932626104,54064.578,29.709725783992525,1
11,A-n12-k4-m3-b4,699.6499999999999,449.28,54087.484000000004,35.785035374830265,1
12,A-n13-k4-m0-b4,918.75,740.37,54106.671,19.41551020408163,0
13,A-n13-k4-m1-b4,918.75,918.7500000000001,8117.6410000000005,1.237407757514188e-14,0
14,A-n13-k4-m2-b4,918.51,646.47,54079.328,29.61753274324721,0
15,A-n13-k4-m3-b4,781.3700000000001,552.44,54040.657,29.298539744295283,1
16,A-n14-k4-m0-b4,956.8500000000001,733.86,54265.563,23.30459319642578,0
17,A-n14-k4-m1-b4,915.6400000000001,915.6400000000001,43227.312,0.0,1
18,A-n14-k4-m2-b4,889.54,618.46,54061.875,30.47417766486048,1
19,A-n14-k4-m3-b4,713.53,504.68,54032.828,29.269967625748038,1
20,A-n15-k4-m0-b4,977.22,750.3299999999999,54153.672,23.217903849696086,0
21,A-n15-k4-m1-b4,977.22,819.85,54088.375,16.103845602832525,0
22,A-n15-k4-m2-b4,975.87,695.0600000000001,54078.485,28.775349175607403,0
23,A-n15-k4-m3-b4,804.9200000000001,529.9300000000001,54053.765,34.163643591909754,1
24,A-n16-k4-m0-b4,1033.38,778.62,54153.906,24.65308018347559,0
25,A-n16-k4-m1-b4,1033.38,811.17,54159.75,21.503222435115845,0
26,A-n16-k4-m2-b4,1032.81,719.94,54095.672,30.293083916693288,0
27,A-n16-k4-m3-b4,840.14,652.91,54067.938,22.28557145237699,1
28,A-n17-k4-m0-b4,1339.38,666.24,54115.641,50.25758186623662,0
29,A-n17-k4-m1-b4,1087.92,621.61,54092.859000000004,42.8625266563718,1
30,A-n17-k4-m2-b4,1087.92,565.47,54090.812000000005,48.02283256121774,1
31,A-n17-k4-m3-b4,1013.59,475.89,54093.766,53.04906323069486,1
32,A-n18-k4-m0-b4,1248.3600000000001,744.03,54309.578,40.39940401807171,0
33,A-n18-k4-m1-b4,1072.77,622.89,54289.828,41.93629575771134,1
34,A-n18-k4-m2-b4,1131.78,577.98,54134.875,48.93177119228118,2
35,A-n18-k4-m3-b4,798.2700000000001,474.57,54107.891,40.550189785410964,2
36,A-n19-k4-m0-b4,1294.5000000000002,783.99,54151.40700000001,39.43684820393975,0
37,A-n19-k4-m1-b4,1150.7099999999998,653.2,54089.25000000001,43.23504618887468,1
38,A-n19-k4-m2-b4,1132.65,568.92,54058.547,49.77089127267912,2
39,A-n19-k4-m3-b4,872.21,503.71,54031.156,42.248999667511264,2
40,A-n20-k4-m0-b4,1386.1799999999996,798.63,28865.406,42.38627018136171,0
41,A-n20-k4-m1-b4,1386.2099999999998,787.24,28899.202999999998,43.20918186999083,0
42,A-n20-k4-m2-b4,1250.25,607.29,28835.187,51.42651469706059,2
43,A-n20-k4-m3-b4,1140.07,548.54,28819.656000000003,51.88541054496654,2
44,A-n21-k4-m0-b4,1422.2699999999998,1210.56,28857.437,14.885359319960333,0
45,A-n21-k4-m1-b4,1412.12,1162.07,28865.094,17.707418632977365,1
46,A-n21-k4-m2-b4,1477.3899999999996,1011.4,28839.219,31.54143455688747,2
47,A-n21-k4-m3-b4,1472.82,988.23,28918.672000000002,32.902187640037475,2
48,A-n22-k4-m0-b4,1808.7600000000002,1016.31,28862.265000000003,43.81178265773238,0
49,A-n22-k4-m1-b4,1445.9099999999999,965.91,28851.625,33.19708695561964,1
50,A-n22-k4-m2-b4,1464.8899999999999,881.5905532503662,28922.313,39.81865169054562,2
51,A-n22-k4-m3-b4,1682.7400000000002,851.02,28820.859000000004,49.426530539477284,3
52,A-n23-k4-m0-b4,1853.7900000000002,1090.86,28849.093,41.15514702312561,0
53,A-n23-k4-m1-b4,1838.8400000000001,1041.03,28888.531000000003,43.386591546844755,1
54,A-n23-k4-m2-b4,1810.1899999999998,806.8100000000001,28862.516,55.429540545467596,2
55,A-n23-k4-m3-b4,1862.8399999999997,796.91,28856.203,57.22069528247192,2
56,A-n24-k4-m0-b4,1550.4300000000003,876.48,28946.953,43.46858613416924,0
57,A-n24-k4-m1-b4,1280.7400000000002,829.23,28855.36,35.25383762512298,1
58,A-n24-k4-m2-b4,1601.1399999999999,815.9300000000001,28842.015,49.04068351299698,2
59,A-n24-k4-m3-b4,1478.5300000000002,766.01,28831.125,48.19110873638006,3
60,A-n25-k4-m0-b4,1912.1699999999996,1118.01,28866.468,41.53187216617768,0
61,A-n25-k4-m1-b4,1709.16,1057.62,28828.797000000002,38.12048023590537,1
62,A-n25-k4-m2-b4,1848.84,895.59,28827.202999999998,51.559356136820924,0
63,A-n25-k4-m3-b4,1750.23,931.6800000000001,28822.844,46.76813904458271,2
64,A-n31-k5-m0-b5,2238.6599999999994,1122.84,28837.453,49.84320977727747,0
65,A-n31-k5-m1-b5,2032.02,1115.4,28838.156,45.108807984173374,1
66,A-n31-k5-m2-b5,2043.0399999999997,1096.25063202962,28817.625,46.34218458622347,1
67,A-n31-k5-m3-b5,2130.6000000000004,1046.97,28831.11,50.860321036327804,3
68,A-n32-k5-m0-b5,1683.5400000000002,878.9699999999999,28825.093,47.79037029117219,0
69,A-n32-k5-m1-b5,1434.73,840.41,28823.359,41.42382190377284,1
70,A-n32-k5-m2-b5,1436.23,838.11,28824.563,41.645140402303255,2
71,A-n32-k5-m3-b5,1484.0800000000002,845.54,28823.094,43.02598242682336,3
72,A-n32-k6-m0-b6,1769.9099999999999,1119.09,28823.594,36.77136125565706,0
73,A-n32-k6-m1-b6,1599.1999999999996,1109.23,28812.469,30.63844422211104,1
74,A-n32-k6-m2-b6,1800.61,1103.32,28824.219,38.725209790015604,2
75,A-n32-k6-m3-b6,1781.8599999999997,1066.63,28820,40.13951713378154,2
76,A-n33-k5-m0-b5,1848.06,826.14,28841.625,55.296905944612185,0
77,A-n33-k5-m1-b5,1890.7000000000003,812.1800000000001,28819.891000000003,57.04342307082033,1
78,A-n33-k5-m2-b5,1759.2200000000003,794.2,28814.797000000002,54.854992553518045,2
79,A-n33-k5-m3-b5,1757.78,742.71,28816,57.74727212734244,2
80,A-n35-k5-m0-b5,2004.8100000000002,1073.34,28821.797,46.46175946847832,0
81,A-n35-k5-m1-b5,1741.9799999999996,971.1700000000001,28826.969,44.249072894063055,1
82,A-n35-k5-m2-b5,1831.0500000000002,824.3305055500551,28823.438,54.98044807350673,2
83,A-n35-k5-m3-b5,1936.81,769.8000000000001,28833.219,60.254232475049164,2
84,A-n36-k5-m0-b5,1340.1899999999996,918.12,28823.359000000004,31.493295726725297,0
85,A-n36-k5-m1-b5,1348.06,863.33,28827.406000000003,35.95759832648398,1
86,A-n36-k5-m2-b5,1350.2399999999998,886.650046424605,28841.735,34.333892757983385,2
87,A-n36-k5-m3-b5,1422.4,824.29,28822.437,42.04935320584928,1
88,A-n36-k6-m0-b6,2390.5499999999997,1049.52,28837.984,56.09713245905753,0
89,A-n36-k6-m1-b6,2582.6200000000003,985.12,28828.391,61.85578985681208,1
90,A-n36-k6-m2-b6,2376.8399999999997,947.4200000000001,28824.812,60.13951296679624,2
91,A-n36-k6-m3-b6,2309.12,921.65,28817.797000000002,60.08652646895787,3
92,A-n37-k5-m0-b5,1917.6899999999998,1110.39,28843.11,42.097523583060855,0
93,A-n37-k5-m1-b5,1764.7799999999997,1082.8,28823.813,38.643910289101186,1
94,A-n37-k5-m2-b5,1822.4899999999998,1006.83,28845.125000000004,44.7552524293686,2
95,A-n37-k5-m3-b5,1991.6299999999997,972.8000000000001,28852.172,51.15558612794544,3
96,A-n38-k5-m0-b5,1773.0900000000001,1019.22,28825.327999999998,42.51730030624503,0
97,A-n38-k5-m1-b5,1791.8099999999995,1005.63,28848.5,43.87630384918042,1
98,A-n38-k5-m2-b5,2117.6300000000006,1029.88,28849.39,51.3663860069984,2
99,A-n38-k5-m3-b5,1958.9000000000005,946.96,28830.718,51.65858389912707,2
100,A-n38-k6-m0-b6,1976.6399999999999,1151.79,28851.188,41.729905293831955,0
101,A-n38-k6-m1-b6,1836.0500000000002,1117.31,28857.093,39.14599275618856,1
102,A-n38-k6-m2-b6,1796.9100000000003,1069.85,28807.781,40.46168144203106,2
103,A-n38-k6-m3-b6,1825.0100000000002,1050.86,28821.484,42.418945649612894,3
104,A-n43-k6-m0-b6,2299.59,1085.37,28866.297,52.80158636974418,0
105,A-n43-k6-m1-b6,2229.04,1016.65,28810.296000000002,54.39067939561425,1
106,A-n43-k6-m2-b6,2284.69,1008.29,28806.952999999998,55.867535639408416,1
107,A-n43-k6-m3-b6,2294.74,944.57,29409.562,58.83760251706075,3
108,A-n44-k6-m0-b6,2722.35,1195.65,28841.031000000003,56.080224805774414,0
109,A-n44-k6-m1-b6,2277.3900000000003,1128.82,28850.641,50.43361040489332,1
110,A-n44-k6-m2-b6,2670.69,1084.11,28915.11,59.40711950844164,2
111,A-n44-k6-m3-b6,2577.9300000000003,1063.27,29534.547,58.75489249126238,1
112,A-n44-k7-m0-b7,2982.36,906.99,28818.702999999998,69.58817848951836,0
113,A-n44-k7-m1-b7,2468.4999999999995,919.48,28822.218,62.75146850313955,1
