,instance,TC,TC Bound,Running time,MIP Gap,Num MRT Line Used
0,A-n10-k3-m0-b1,278.77,278.77,4.359,0.0,0
1,A-n10-k3-m1-b1,278.77,278.77,4.968,0.0,0
2,A-n10-k3-m2-b1,201.1,201.1,1.656,0.0,2
3,A-n10-k3-m3-b1,201.09999999999997,201.1,2.391,1.4133122541225267e-14,2
4,A-n11-k4-m0-b1,298.88,298.88,13.671999999999999,0.0,0
5,A-n11-k4-m1-b1,298.88,298.88,11.984,0.0,0
6,A-n11-k4-m2-b1,276.57,276.5699999999999,11.719,4.110599042615469e-14,1
7,A-n11-k4-m3-b1,227.68,227.68,10.641,0.0,1
8,A-n12-k4-m0-b1,400.98999999999995,400.99,14.921000000000001,1.4175769685231059e-14,0
9,A-n12-k4-m1-b1,323.16,323.16,8.687999999999999,0.0,1
10,A-n12-k4-m2-b1,323.16,323.16,7.391000000000001,0.0,1
11,A-n12-k4-m3-b1,295.3999999999999,295.4,5.953,1.9242863527693985e-14,3
12,A-n13-k4-m0-b1,320.45,320.45,9.562,0.0,0
13,A-n13-k4-m1-b1,320.45,320.45,16.109,0.0,0
14,A-n13-k4-m2-b1,306.69,306.69,20.953000000000003,0.0,2
15,A-n13-k4-m3-b1,282.7099999999999,282.71,8.859,2.0106617686253766e-14,1
16,A-n14-k4-m0-b1,341.78000000000003,341.78,75.813,1.6631581385923112e-14,0
17,A-n14-k4-m1-b1,314.75,314.7499999999999,134.922,3.6119726043404617e-14,1
18,A-n14-k4-m2-b1,265.07,265.07,50.094,0.0,2
19,A-n14-k4-m3-b1,265.07,265.07,46.672000000000004,0.0,2
20,A-n15-k4-m0-b1,445.48999999999995,445.49,2443.187,1.2759751927272896e-14,0
21,A-n15-k4-m1-b1,381.57,381.57,1322.297,0.0,1
22,A-n15-k4-m2-b1,319.6,319.6,67.329,0.0,2
23,A-n15-k4-m3-b1,319.59999999999997,319.5999999999999,157.359,1.778580064480852e-14,2
24,A-n16-k4-m0-b1,353.15999999999997,353.16,2441.719,1.609565603715257e-14,0
25,A-n16-k4-m1-b1,353.15999999999997,353.16,7469.531000000001,1.609565603715257e-14,0
26,A-n16-k4-m2-b1,300.76000000000005,300.76,233.532,1.8899926473203885e-14,2
27,A-n16-k4-m3-b1,289.7,289.7,401.26599999999996,0.0,2
28,A-n17-k4-m0-b1,421.84,357.28,14417.954000000002,15.304380807889247,0
29,A-n17-k4-m1-b1,348.86,348.86,2621.593,0.0,1
30,A-n17-k4-m2-b1,327.68999999999994,327.69,201.031,1.734670538033142e-14,2
31,A-n17-k4-m3-b1,315.72999999999996,315.73,274.26599999999996,1.8003806689515734e-14,3
32,A-n18-k4-m0-b1,471.44,308.93,14427.172,34.47098252163584,0
33,A-n18-k4-m1-b1,404.06,319.4444170096021,14445.156,20.94134113507843,1
