Code,Category,Line,Position,Name,Latitude,Longitude
BL01,MRT Station,Blue Line,Terminal,Dingpu,24.9595637,121.4197544
BL02,MRT Station,Blue Line,Middle,Yongning,24.9668564,121.4360558
BL03,MRT Station,Blue Line,Middle,Haishan,24.9856212,121.4487271
BL04,MRT Station,Blue Line,Middle,Fuzhong,25.0087292,121.4594595
BL05,MRT Station,Blue Line,Middle,Banqiao,25.0139871,121.4624855
BL06,MRT Station,Blue Line,Middle,Xinpu,25.0238982,121.4684152
BL07,MRT Station,Blue Line,Middle,Ximen,25.0427128,121.5086081
BL08,MRT Station,Blue Line,Middle,Taipei Main Station,25.0475958,121.5170561
BL09,MRT Station,Blue Line,Middle,ZhongXiao Xinsheng,25.0424988,121.5328806
BL10,MRT Station,Blue Line,Middle,ZhongXiao Fuxing,25.0417921,121.5437328
BL11,MRT Station,Blue Line,Middle,Taipei City Hall,25.0411283,121.5660998
BL12,MRT Station,Blue Line,Middle,Yongchun,25.0408761,121.5757045
BL13,MRT Station,Blue Line,Middle,Kunyang,25.0504897,121.5933161
BL23,MRT Station,Blue Line,Terminal,Taipei Nangang Exhibition Center,25.0553158,121.617896
R01,MRT Station,Red Line,Terminal,Xiangshan,25.0328676,121.5697576
R02,MRT Station,Red Line,Middle,Daan,25.0333294,121.5435546
R03,MRT Station,Red Line,Middle,Dongmen,25.0338425,121.5292584
R04,MRT Station,Red Line,Middle,Taipei Main Station,25.0475958,121.5170561
R05,MRT Station,Red Line,Middle,Zhongshan,25.0526256,121.5203914
R06,MRT Station,Red Line,Middle,Minquan West Rd.,25.0630347,121.5197477
R07,MRT Station,Red Line,Middle,Yuanshan,25.0714175,121.5201361
R08,MRT Station,Red Line,Middle,Shilin,25.0934949,121.5262468
R09,MRT Station,Red Line,Middle,Beitou,25.1319307,121.4985934
R10,MRT Station,Red Line,Middle,Zhongyi,25.1309506,121.4733741
R11,MRT Station,Red Line,Middle,Guandu,25.1257006,121.4671419
R12,MRT Station,Red Line,Middle,Hongshulin,25.1551998,121.4589417
R28,MRT Station,Red Line,Terminal,Tamsui,25.1678849,121.4456164
G01,MRT Station,Green Line,Terminal,Xindian,24.9579858,121.5375799
G02,MRT Station,Green Line,Middle,Dapinglin,24.9829378,121.5413509
G03,MRT Station,Green Line,Middle,Wanlong,25.001899,121.5389958
G04,MRT Station,Green Line,Middle,Gongguan,25.0149166,121.534264
G05,MRT Station,Green Line,Middle,Guting,25.0264102,121.5229533
G06,MRT Station,Green Line,Middle,Chiang Kai-Shek Memorial Hall,25.0333942,121.5177618
G07,MRT Station,Green Line,Middle,Xiaonanmen,25.035901,121.5108064
G08,MRT Station,Green Line,Middle,Ximen,25.0427128,121.5086081
G09,MRT Station,Green Line,Middle,Beimen,25.0493991,121.5103289
G10,MRT Station,Green Line,Middle,Zhongshan,25.0526256,121.5203914
G11,MRT Station,Green Line,Middle,Songjiang Nanjing,25.0520141,121.5330358
G12,MRT Station,Green Line,Middle,Nanjing Fuxing,25.051836,121.5439651
G19,MRT Station,Green Line,Terminal,Songshan,25.0500706,121.5774743
BR01,MRT Station,Brown Line,Terminal,Taipei Zoo,24.9983168,121.5794478
BR02,MRT Station,Brown Line,Middle,Wanfang Community,24.9986089,121.5681226
BR03,MRT Station,Brown Line,Middle,Wanfang Hospital,24.9994306,121.558138
BR04,MRT Station,Brown Line,Middle,Linguang,25.0184395,121.5589054
BR05,MRT Station,Brown Line,Middle,Liuzhangli,25.0238183,121.5531211
BR06,MRT Station,Brown Line,Middle,Technology Building,25.0261012,121.5434596
BR07,MRT Station,Brown Line,Middle,Daan,25.0333294,121.5435546
BR08,MRT Station,Brown Line,Middle,ZongXiao Fuxing,25.0417921,121.5437328
BR09,MRT Station,Brown Line,Middle,Nanjing Fuxing,25.051836,121.5439651
BR10,MRT Station,Brown Line,Middle,Dazhi,25.0798652,121.5474402
BR11,MRT Station,Brown Line,Middle,Jiannan Rd.,25.0850308,121.5556458
BR12,MRT Station,Brown Line,Middle,Neihu,25.0834972,121.5941892
BR13,MRT Station,Brown Line,Middle,Dahu Park,25.0837613,121.602341
BR14,MRT Station,Brown Line,Middle,Huzhou,25.0726385,121.6073633
BR15,MRT Station,Brown Line,Terminal,Taipei Nangang Exhibition Center,25.0553158,121.617896
O01,MRT Station,Orange Line,Terminal,Nanshijiao,24.9902831,121.5090936
O02,MRT Station,Orange Line,Middle,Dingxi,25.0139463,121.5154992
O03,MRT Station,Orange Line,Middle,Guting,25.0264102,121.5229533
O04,MRT Station,Orange Line,Middle,Dongmen,25.0338425,121.5292584
O05,MRT Station,Orange Line,Middle,Zhongxiao Xinsheng,25.04229,121.5328383
O06,MRT Station,Orange Line,Middle,Songjiang Nanjing,25.0520141,121.5330358
O07,MRT Station,Orange Line,Middle,Xintian Temple,25.0599143,121.5331263
O08,MRT Station,Orange Line,Middle,Minquan West Rd.,25.0630347,121.5197477
O09,MRT Station,Orange Line,Middle,Daqiaotou,25.063198,121.5126944
O10,MRT Station,Orange Line,Middle,Caliao,25.0615982,121.4914599
O11,MRT Station,Orange Line,Middle,Sanchong,25.0562864,121.4844169
O12,MRT Station,Orange Line,Middle,Danfeng,25.0289442,121.4224485
O13,MRT Station,Orange Line,Terminal,Huilong,25.0220779,121.4116687
